"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Nov 24 17:22:20 UTC 2024","Sun Nov 24 17:22:26 UTC 2024","5925","","Contact form","","com.serenitydojo.playwright.toolshop.contact.ContactFormTest","mandatoryFields","First name, last name, email and message are mandatory First name is a mandatory field",""
"passed","Sun Nov 24 17:22:16 UTC 2024","Sun Nov 24 17:22:17 UTC 2024","1056","","Contact form","","com.serenitydojo.playwright.toolshop.contact.ContactFormTest","invalidEmailField","The email address must be correctly formatted 'notanemail' should be rejected",""
"failed","Sun Nov 24 17:22:32 UTC 2024","Sun Nov 24 17:22:38 UTC 2024","5744","","Contact form","","com.serenitydojo.playwright.toolshop.contact.ContactFormTest","mandatoryFields","First name, last name, email and message are mandatory Email is a mandatory field",""
"passed","Sun Nov 24 17:22:17 UTC 2024","Sun Nov 24 17:22:19 UTC 2024","2747","","Contact form","","com.serenitydojo.playwright.toolshop.contact.ContactFormTest","completeForm","Customers can use the contact form to contact us",""
"passed","Sun Nov 24 17:22:39 UTC 2024","Sun Nov 24 17:22:42 UTC 2024","2840","","Product Catalog","","The one where Sally searches for a product that doesn't exist","","The one where Sally searches for a product that doesn't exist","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online shopper"
"passed","Sun Nov 24 17:22:18 UTC 2024","Sun Nov 24 17:22:19 UTC 2024","1755","","Searching by keyword","","com.serenitydojo.playwright.toolshop.catalog.SearchForProductsTest$SearchingByKeyword","whenThereIsNoMatchingProduct","When there are no matching results",""
"passed","Sun Nov 24 17:22:43 UTC 2024","Sun Nov 24 17:22:45 UTC 2024","1361","","Product Catalog","","Sally sorts by different criteria","","Sally sorts by different criteria","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online shopper"
"passed","Sun Nov 24 17:22:39 UTC 2024","Sun Nov 24 17:22:43 UTC 2024","3288","","Product Catalog","","The one where Sally only wants to see Hand Saws","","The one where Sally only wants to see Hand Saws","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly.

  Sally is an online shopper"
"passed","Sun Nov 24 17:22:38 UTC 2024","Sun Nov 24 17:22:39 UTC 2024","729","","Contact form","","com.serenitydojo.playwright.toolshop.contact.ContactFormTest","mandatoryFields","First name, last name, email and message are mandatory Message is a mandatory field",""
"failed","Sun Nov 24 17:22:26 UTC 2024","Sun Nov 24 17:22:32 UTC 2024","5915","","Contact form","","com.serenitydojo.playwright.toolshop.contact.ContactFormTest","mandatoryFields","First name, last name, email and message are mandatory Last name is a mandatory field",""
